06-13 19:33 INFO     Data statistics: {0: {0: 28, 1: 3830, 2: 5498, 3: 23, 4: 4244, 5: 3, 6: 726, 7: 5778}, 1: {0: 547, 1: 2762, 2: 454, 3: 2359, 4: 345, 5: 4003, 6: 3953, 7: 336, 8: 4396}, 2: {0: 1688, 1: 6, 2: 2, 3: 18, 4: 1252, 5: 656, 6: 6, 7: 58, 8: 1335, 9: 77}, 3: {0: 3660, 1: 144, 2: 4, 3: 3731, 4: 1, 5: 759, 6: 1233, 7: 93, 8: 120, 9: 5872}}
06-13 19:36 INFO     === Round 1/6 ===
06-13 19:36 INFO     Round 1, Client 0: Task loss 0.3338, Explore loss -0.2295, Entropy 2.2945
06-13 19:36 INFO     Round 1, Client 1: Task loss 0.5826, Explore loss -0.2293, Entropy 2.2934
06-13 19:36 INFO     Round 1, Client 2: Task loss 0.9558, Explore loss -0.2276, Entropy 2.2758
06-13 19:36 INFO     Round 1, Client 3: Task loss 0.4817, Explore loss -0.2292, Entropy 2.2923
06-13 19:36 INFO     Global Model Accuracy at Round 1: 80.69%
06-13 19:37 INFO     Client 0 Model Accuracy at Round 1: 49.99%
06-13 19:37 INFO     Client 1 Model Accuracy at Round 1: 81.96%
06-13 19:37 INFO     Client 2 Model Accuracy at Round 1: 36.55%
06-13 19:37 INFO     Client 3 Model Accuracy at Round 1: 53.80%
06-13 19:40 INFO     === Round 2/6 ===
06-13 19:40 INFO     Round 2, Client 0: Task loss 0.1717, Explore loss -0.2302, Entropy 2.3016
06-13 19:40 INFO     Round 2, Client 1: Task loss 0.2791, Explore loss -0.2302, Entropy 2.3015
06-13 19:40 INFO     Round 2, Client 2: Task loss 0.4023, Explore loss -0.2300, Entropy 2.3000
06-13 19:40 INFO     Round 2, Client 3: Task loss 0.2525, Explore loss -0.2301, Entropy 2.3014
06-13 19:40 INFO     Global Model Accuracy at Round 2: 83.78%
06-13 19:40 INFO     Client 0 Model Accuracy at Round 2: 54.33%
06-13 19:40 INFO     Client 1 Model Accuracy at Round 2: 84.90%
06-13 19:40 INFO     Client 2 Model Accuracy at Round 2: 46.29%
06-13 19:40 INFO     Client 3 Model Accuracy at Round 2: 65.79%
06-13 19:43 INFO     === Round 3/6 ===
06-13 19:43 INFO     Round 3, Client 0: Task loss 0.1187, Explore loss -0.2302, Entropy 2.3023
06-13 19:43 INFO     Round 3, Client 1: Task loss 0.1876, Explore loss -0.2302, Entropy 2.3023
06-13 19:43 INFO     Round 3, Client 2: Task loss 0.2491, Explore loss -0.2302, Entropy 2.3020
06-13 19:43 INFO     Round 3, Client 3: Task loss 0.1830, Explore loss -0.2302, Entropy 2.3023
06-13 19:43 INFO     Global Model Accuracy at Round 3: 84.86%
06-13 19:43 INFO     Client 0 Model Accuracy at Round 3: 59.33%
06-13 19:44 INFO     Client 1 Model Accuracy at Round 3: 85.10%
06-13 19:44 INFO     Client 2 Model Accuracy at Round 3: 55.83%
06-13 19:44 INFO     Client 3 Model Accuracy at Round 3: 68.31%
06-13 19:47 INFO     === Round 4/6 ===
06-13 19:47 INFO     Round 4, Client 0: Task loss 0.0947, Explore loss -0.2302, Entropy 2.3024
06-13 19:47 INFO     Round 4, Client 1: Task loss 0.1414, Explore loss -0.2302, Entropy 2.3025
06-13 19:47 INFO     Round 4, Client 2: Task loss 0.1828, Explore loss -0.2302, Entropy 2.3024
06-13 19:47 INFO     Round 4, Client 3: Task loss 0.1501, Explore loss -0.2302, Entropy 2.3024
06-13 19:47 INFO     Global Model Accuracy at Round 4: 87.62%
